,cpu_load,mem_avail,timestamp,run,run_start_cutoff,run_end_cutoff
351,84.5,26070122496,1526055383876.4941,0,1526055328825.4666,1526055388017.6387
352,86.6,26069741568,1526055384077.565,0,1526055328825.4666,1526055388017.6387
353,90.3,26067468288,1526055384274.1238,0,1526055328825.4666,1526055388017.6387
354,82.8,26070740992,1526055384477.5261,0,1526055328825.4666,1526055388017.6387
355,78.2,26071961600,1526055384672.8044,0,1526055328825.4666,1526055388017.6387
356,80.1,26068754432,1526055384876.3533,0,1526055328825.4666,1526055388017.6387
357,77.2,26072743936,1526055385072.7568,0,1526055328825.4666,1526055388017.6387
358,79.2,26075377664,1526055385274.2405,0,1526055328825.4666,1526055388017.6387
359,68.0,26075824128,1526055385472.6848,0,1526055328825.4666,1526055388017.6387
360,73.5,26073866240,1526055385672.996,0,1526055328825.4666,1526055388017.6387
361,71.8,26070745088,1526055385875.7046,0,1526055328825.4666,1526055388017.6387
362,74.7,26070573056,1526055386073.8867,0,1526055328825.4666,1526055388017.6387
363,76.6,26072363008,1526055386281.479,0,1526055328825.4666,1526055388017.6387
364,67.6,26071121920,1526055386475.1323,0,1526055328825.4666,1526055388017.6387
365,69.6,26068856832,1526055386674.676,0,1526055328825.4666,1526055388017.6387
366,67.5,26068869120,1526055386873.1748,0,1526055328825.4666,1526055388017.6387
367,63.4,26070933504,1526055387073.4758,0,1526055328825.4666,1526055388017.6387
368,62.6,26071277568,1526055387277.4182,0,1526055328825.4666,1526055388017.6387
369,64.1,26070966272,1526055387472.7239,0,1526055328825.4666,1526055388017.6387
370,64.4,26069975040,1526055387673.2905,0,1526055328825.4666,1526055388017.6387
371,66.9,26068492288,1526055387876.9055,0,1526055328825.4666,1526055388017.6387
372,64.5,26069458944,1526055388075.1855,0,1526055328825.4666,1526055388017.6387
373,66.2,26068480000,1526055388275.6675,0,1526055328825.4666,1526055388017.6387
374,66.4,26068803584,1526055388474.0547,0,1526055328825.4666,1526055388017.6387
375,62.2,26072674304,1526055388673.342,0,1526055328825.4666,1526055388017.6387
376,60.0,26072317952,1526055388875.1982,0,1526055328825.4666,1526055388017.6387
377,60.5,26072035328,1526055389073.2893,0,1526055328825.4666,1526055388017.6387
378,60.3,26072297472,1526055389276.267,0,1526055328825.4666,1526055388017.6387
379,60.1,26075811840,1526055389472.9097,0,1526055328825.4666,1526055388017.6387
380,58.4,26075398144,1526055389672.8496,0,1526055328825.4666,1526055388017.6387
381,55.6,26075832320,1526055389874.328,0,1526055328825.4666,1526055388017.6387
382,54.2,26075164672,1526055390073.3704,0,1526055328825.4666,1526055388017.6387
383,57.0,26072977408,1526055390273.6096,0,1526055328825.4666,1526055388017.6387
384,59.9,26071769088,1526055390472.839,0,1526055328825.4666,1526055388017.6387
385,56.3,26074292224,1526055390673.0583,0,1526055328825.4666,1526055388017.6387
386,51.3,26074173440,1526055390872.8987,0,1526055328825.4666,1526055388017.6387
387,50.0,26077106176,1526055391072.7373,0,1526055328825.4666,1526055388017.6387
388,43.1,26077261824,1526055391272.8076,0,1526055328825.4666,1526055388017.6387
389,46.1,26077515776,1526055391472.865,0,1526055328825.4666,1526055388017.6387
390,47.7,26077544448,1526055391672.723,0,1526055328825.4666,1526055388017.6387
391,43.5,26077212672,1526055391872.7375,0,1526055328825.4666,1526055388017.6387
392,48.1,26077310976,1526055392072.697,0,1526055328825.4666,1526055388017.6387
393,49.7,26077454336,1526055392272.7341,0,1526055328825.4666,1526055388017.6387
394,41.9,26078334976,1526055392472.8276,0,1526055328825.4666,1526055388017.6387
395,41.4,26077601792,1526055392672.6963,0,1526055328825.4666,1526055388017.6387
396,42.6,26077495296,1526055392872.951,0,1526055328825.4666,1526055388017.6387
397,41.7,26077339648,1526055393072.9797,0,1526055328825.4666,1526055388017.6387
398,43.6,26077794304,1526055393272.907,0,1526055328825.4666,1526055388017.6387
399,44.0,26074931200,1526055393475.0632,0,1526055328825.4666,1526055388017.6387
400,43.8,26074755072,1526055393672.9233,0,1526055328825.4666,1526055388017.6387
401,44.2,26075230208,1526055393873.083,0,1526055328825.4666,1526055388017.6387
402,45.7,26078560256,1526055394072.8135,0,1526055328825.4666,1526055388017.6387
403,46.2,26075140096,1526055394273.0662,0,1526055328825.4666,1526055388017.6387
404,42.9,26076299264,1526055394473.0476,0,1526055328825.4666,1526055388017.6387
405,49.7,26075303936,1526055394672.9424,0,1526055328825.4666,1526055388017.6387
406,41.3,26078420992,1526055394872.7644,0,1526055328825.4666,1526055388017.6387
407,46.4,26079244288,1526055395072.71,0,1526055328825.4666,1526055388017.6387
408,43.0,26077913088,1526055395273.0876,0,1526055328825.4666,1526055388017.6387
409,39.0,26078777344,1526055395472.8557,0,1526055328825.4666,1526055388017.6387
410,41.7,26078990336,1526055395673.183,0,1526055328825.4666,1526055388017.6387
411,46.3,26078269440,1526055395873.271,0,1526055328825.4666,1526055388017.6387
412,43.6,26078932992,1526055396073.1167,0,1526055328825.4666,1526055388017.6387
413,44.2,26078900224,1526055396273.0242,0,1526055328825.4666,1526055388017.6387
414,44.3,26079072256,1526055396472.9841,0,1526055328825.4666,1526055388017.6387
415,44.2,26078404608,1526055396672.9624,0,1526055328825.4666,1526055388017.6387
416,48.4,26078781440,1526055396872.9856,0,1526055328825.4666,1526055388017.6387
417,47.1,26079682560,1526055397072.723,0,1526055328825.4666,1526055388017.6387
418,45.0,26078949376,1526055397272.8,0,1526055328825.4666,1526055388017.6387
419,48.7,26078842880,1526055397472.919,0,1526055328825.4666,1526055388017.6387
420,43.5,26075799552,1526055397674.5637,0,1526055328825.4666,1526055388017.6387
421,48.6,26076127232,1526055397872.954,0,1526055328825.4666,1526055388017.6387
422,43.1,26078818304,1526055398073.0327,0,1526055328825.4666,1526055388017.6387
423,41.1,26113298432,1526055398272.8298,0,1526055328825.4666,1526055388017.6387
424,38.1,26113961984,1526055398472.8628,0,1526055328825.4666,1526055388017.6387
